Link, Anchor Text
"https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#semi",
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#mw-head", Jump to navigation
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#searchInput", Jump to search
"https://en.wikipedia.org/wiki/File:Forbes_logo.svg",
"https://en.wikipedia.org/wiki/Forbes", Forbes
"https://en.wikipedia.org/wiki/Forbes_Top_40", Forbes Top 40
"https://en.wikipedia.org/wiki/Earnings", earnings
"https://en.wikipedia.org/wiki/Social_media", social media
"https://en.wikipedia.org/wiki/Magazine_cover", magazine covers
"https://en.wikipedia.org/wiki/Gross_income", pretax earnings
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-1", [1]
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-2", [2]
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#Celebrity_100_lists", 1	Celebrity 100 lists
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#1990s", 1.1	1990s
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#2000s", 1.2	2000s
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#2010s", 1.3	2010s
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#2020s", 1.4	2020s
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#References", 2	References
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#External_links", 3	External links
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-3", [3]
"https://en.wikipedia.org/wiki/United_States",
"https://en.wikipedia.org/wiki/Michael_Jordan", Michael Jordan
"https://en.wikipedia.org/wiki/Basketball", Basketball
"https://en.wikipedia.org/wiki/Oprah_Winfrey", Oprah Winfrey
"https://en.wikipedia.org/wiki/Leonardo_DiCaprio", Leonardo DiCaprio
"https://en.wikipedia.org/wiki/Jerry_Seinfeld", Jerry Seinfeld
"https://en.wikipedia.org/wiki/Steven_Spielberg", Steven Spielberg
"https://en.wikipedia.org/wiki/United_Kingdom",
"https://en.wikipedia.org/wiki/Spice_Girls", Spice Girls
"https://en.wikipedia.org/wiki/Harrison_Ford", Harrison Ford
"https://en.wikipedia.org/wiki/Robin_Williams", Robin Williams
"https://en.wikipedia.org/wiki/Canada",
"https://en.wikipedia.org/wiki/Celine_Dion", Celine Dion
"https://en.wikipedia.org/wiki/The_Rolling_Stones", The Rolling Stones
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-4", [4]
"https://en.wikipedia.org/wiki/Julia_Roberts", Julia Roberts
"https://en.wikipedia.org/wiki/George_Lucas", George Lucas
"https://en.wikipedia.org/wiki/Tom_Hanks", Tom Hanks
"https://en.wikipedia.org/wiki/Tiger_Woods", Tiger Woods
"https://en.wikipedia.org/wiki/Golf", Golf
"https://en.wikipedia.org/wiki/Backstreet_Boys", Backstreet Boys
"https://en.wikipedia.org/wiki/Cher", Cher
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-5", [5]
"https://en.wikipedia.org/wiki/Tom_Cruise", Thomas Cruise Mapother IV, known professionally as Tom Cruise, is an American actor and producer. One of the world's highest-paid actors, he has received various accolades, including an Honorary Palme d'Or and three Golden Globe Awards, in addition to nominations for three Academy Awards. His films have grossed over $4 billion in North America and over $11.1 billion worldwide, making him one of the highest-grossing box-office stars of all time.
"https://en.wikipedia.org/wiki/The_Beatles", The Beatles
"https://en.wikipedia.org/wiki/Britney_Spears", Britney Spears
"https://en.wikipedia.org/wiki/Bruce_Willis", Bruce Willis
"https://en.wikipedia.org/wiki/NSYNC", NSYNC
"https://en.wikipedia.org/wiki/Mel_Gibson", Mel Gibson
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-6", [6]
"https://en.wikipedia.org/wiki/Madonna", Madonna
"https://en.wikipedia.org/wiki/Republic_of_Ireland",
"https://en.wikipedia.org/wiki/U2", U2
"https://en.wikipedia.org/wiki/Mariah_Carey", Mariah Carey
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-7", [7]
"https://en.wikipedia.org/wiki/Jennifer_Aniston", Jennifer Aniston
"https://en.wikipedia.org/wiki/Eminem", Eminem
"https://en.wikipedia.org/wiki/Dr._Dre", Dr. Dre
"https://en.wikipedia.org/wiki/Jennifer_Lopez", Jennifer Lopez
"https://en.wikipedia.org/wiki/Paul_McCartney", Paul McCartney
"https://en.wikipedia.org/wiki/Ben_Affleck", Ben Affleck
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-8", [8]
"https://en.wikipedia.org/wiki/J.K._Rowling", J.K. Rowling
"https://en.wikipedia.org/wiki/Bruce_Springsteen", Bruce Springsteen
"https://en.wikipedia.org/wiki/Johnny_Depp", Johnny Depp
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-9", [9]
"https://en.wikipedia.org/wiki/Shaquille_O%27Neal", Shaquille O'Neal
"https://en.wikipedia.org/wiki/Elton_John", Elton John
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-10", [10]
"https://en.wikipedia.org/wiki/Howard_Stern", Howard Stern
"https://en.wikipedia.org/wiki/50_Cent", 50 Cent
"https://en.wikipedia.org/wiki/James_Gandolfini", James Gandolfini
"https://en.wikipedia.org/wiki/Lorraine_Bracco", Lorraine Bracco
"https://en.wikipedia.org/wiki/Edie_Falco", Edie Falco
"https://en.wikipedia.org/wiki/Michael_Imperioli", Michael Imperioli
"https://en.wikipedia.org/wiki/Jamie-Lynn_Sigler", Jamie-Lynn Sigler
"https://en.wikipedia.org/wiki/Dan_Brown", Dan Brown
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-11", [11]
"https://en.wikipedia.org/wiki/Brad_Pitt", Brad Pitt
"https://en.wikipedia.org/wiki/Jay-Z", Jay-Z
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-12", [12]
"https://en.wikipedia.org/wiki/Angelina_Jolie", Angelina Jolie
"https://en.wikipedia.org/wiki/Beyonc%C3%A9", Beyoncé
"https://en.wikipedia.org/wiki/David_Beckham", David Beckham
"https://en.wikipedia.org/wiki/Association_football", Association football
"https://en.wikipedia.org/wiki/The_Police", The Police
"https://en.wikipedia.org/wiki/Paula_Deen", Paula Deen
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-13", [13]
"https://en.wikipedia.org/wiki/Kobe_Bryant", Kobe Bryant
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-14", [14]
"https://en.wikipedia.org/wiki/James_Cameron", James Cameron
"https://en.wikipedia.org/wiki/Lady_Gaga", Lady Gaga
"https://en.wikipedia.org/wiki/Sandra_Bullock", Sandra Bullock
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-15", [15]
"https://en.wikipedia.org/wiki/Justin_Bieber", Justin Bieber
"https://en.wikipedia.org/wiki/Taylor_Swift", Taylor Swift
"https://en.wikipedia.org/wiki/Bon_Jovi", Bon Jovi
"https://en.wikipedia.org/wiki/Simon_Cowell", Simon Cowell
"https://en.wikipedia.org/wiki/LeBron_James", LeBron James
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-16", [16]
"https://en.wikipedia.org/wiki/Barbados",
"https://en.wikipedia.org/wiki/Rihanna", Rihanna
"https://en.wikipedia.org/wiki/Kim_Kardashian", Kim Kardashian
"https://en.wikipedia.org/wiki/Katy_Perry", Katy Perry
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-17", [17]
"https://en.wikipedia.org/wiki/Madonna_(entertainer)", Madonna
"https://en.wikipedia.org/wiki/Switzerland",
"https://en.wikipedia.org/wiki/Roger_Federer", Roger Federer
"https://en.wikipedia.org/wiki/Tennis", Tennis
"https://en.wikipedia.org/wiki/Ellen_DeGeneres", Ellen DeGeneres
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-18", [18]
"https://en.wikipedia.org/wiki/Floyd_Mayweather_Jr.", Floyd Mayweather Jr.
"https://en.wikipedia.org/wiki/Boxing", Boxing
"https://en.wikipedia.org/wiki/Robert_Downey_Jr.", Robert Downey Jr.
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-19", [19]
"https://en.wikipedia.org/wiki/Philippines",
"https://en.wikipedia.org/wiki/Manny_Pacquiao", Manny Pacquiao
"https://en.wikipedia.org/wiki/One_Direction", One Direction
"https://en.wikipedia.org/wiki/Garth_Brooks", Garth Brooks
"https://en.wikipedia.org/wiki/James_Patterson", James Patterson
"https://en.wikipedia.org/wiki/Portugal",
"https://en.wikipedia.org/wiki/Cristiano_Ronaldo", Cristiano Ronaldo
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-forbes2016-20", [20]
